Feature,Score,P_value
Feature_19406,33.3431,8.632551e-09
Feature_19448,33.34305,8.632785e-09
Feature_19196,33.34305,8.632785e-09
Feature_19490,33.342907,8.633403e-09
Feature_19200,33.34284,8.633704e-09
Feature_19368,33.342403,8.635611e-09
Feature_19830,33.342262,8.63623e-09
Feature_19788,33.34203,8.637251e-09
Feature_19494,33.341934,8.637668e-09
Feature_19410,33.341763,8.6384215e-09
Feature_19364,33.341633,8.638991e-09
Feature_19616,33.340824,8.642539e-09
Feature_19452,33.340694,8.643108e-09
Feature_19914,33.340637,8.643359e-09
Feature_19326,33.34025,8.645067e-09
Feature_19872,33.34018,8.645368e-09
Feature_19662,33.34018,8.645368e-09
Feature_19956,33.34009,8.6457534e-09
Feature_19704,33.340084,8.645787e-09
Feature_19746,33.33994,8.646423e-09
Feature_19578,33.3399,8.646591e-09
Feature_19322,33.33989,8.646641e-09
Feature_19536,33.339596,8.64793e-09
Feature_19620,33.337868,8.6555225e-09
Feature_19700,33.337437,8.657417e-09
Feature_19742,33.33733,8.657886e-09
Feature_19994,33.33711,8.658859e-09
Feature_20036,33.3364,8.66198e-09
Feature_19658,33.336216,8.662784e-09
Feature_19952,33.335094,8.667719e-09
Feature_19784,33.33375,8.673631e-09
Feature_19868,33.333454,8.674942e-09
Feature_19826,33.332924,8.677278e-09
Feature_19910,33.332886,8.677445e-09
Feature_19540,33.32391,8.717085e-09
Feature_20044,33.322742,8.722253e-09
Feature_19624,33.32072,8.731212e-09
Feature_19582,33.319458,8.736812e-09
Feature_19876,33.319412,8.737015e-09
Feature_19834,33.319077,8.738504e-09
Feature_20002,33.318863,8.739453e-09
Feature_19708,33.318665,8.740333e-09
Feature_19960,33.317398,8.745955e-09
Feature_19750,33.316936,8.748005e-09
Feature_19414,33.316788,8.748667e-09
Feature_19792,33.316673,8.749175e-09
Feature_19456,33.316383,8.750463e-09
Feature_19918,33.315914,8.752548e-09
Feature_19666,33.31386,8.761674e-09
Feature_19288,33.294918,8.846362e-09
Feature_19498,33.2935,8.852738e-09
Feature_19246,33.29325,8.853853e-09
Feature_19204,33.293205,8.854059e-09
Feature_19330,33.292606,8.856752e-09
Feature_19372,33.29043,8.866554e-09
Feature_20058,33.27393,8.941148e-09
Feature_20016,33.269478,8.961384e-09
Feature_19974,33.26436,8.98471e-09
Feature_19386,33.262276,8.994218e-09
Feature_19428,33.262276,8.994218e-09
Feature_19470,33.26189,8.995978e-09
Feature_19344,33.2615,8.997755e-09
Feature_19302,33.261177,8.999237e-09
Feature_19512,33.26082,9.000876e-09
Feature_19260,33.26071,9.001364e-09
Feature_19932,33.26018,9.003788e-09
Feature_19596,33.26009,9.004207e-09
Feature_19218,33.258842,9.009912e-09
Feature_19554,33.257904,9.014207e-09
Feature_19680,33.257072,9.018014e-09
Feature_19890,33.25706,9.018066e-09
Feature_19848,33.25611,9.0224175e-09
Feature_19806,33.25546,9.025407e-09
Feature_19764,33.253056,9.0364285e-09
Feature_19638,33.25284,9.037426e-09
Feature_19722,33.25165,9.042872e-09
Feature_19443,32.58463,1.26902275e-08
Feature_19317,32.581444,1.2710787e-08
Feature_19401,32.58005,1.2719785e-08
Feature_19905,32.579823,1.2721265e-08
Feature_19359,32.579647,1.2722399e-08
Feature_19275,32.57783,1.2734145e-08
Feature_19233,32.5772,1.2738219e-08
Feature_19947,32.577126,1.2738713e-08
Feature_19863,32.57705,1.2739207e-08
Feature_19569,32.575138,1.27515865e-08
Feature_19485,32.57471,1.2754356e-08
Feature_19527,32.574257,1.2757298e-08
Feature_20073,32.573692,1.2760959e-08
Feature_19779,32.57314,1.2764547e-08
Feature_19821,32.572998,1.27654625e-08
Feature_20031,32.572273,1.2770165e-08
Feature_19653,32.57085,1.2779403e-08
Feature_19737,32.57035,1.278265e-08
Feature_19989,32.570232,1.2783418e-08
Feature_19611,32.56963,1.2787335e-08
Feature_20055,32.566032,1.2810734e-08
Feature_19695,32.564983,1.2817566e-08
Feature_19635,32.563747,1.282562e-08
Feature_19467,32.563725,1.2825769e-08
Feature_19299,32.5633,1.2828529e-08
Feature_19425,32.562023,1.2836863e-08
Feature_19215,32.561996,1.2837038e-08
Feature_19887,32.56191,1.283761e-08
Feature_19929,32.561096,1.28429125e-08
Feature_19509,32.560837,1.2844605e-08
Feature_19971,32.560337,1.28478685e-08
Feature_19781,32.55938,1.2854122e-08
Feature_19257,32.559326,1.2854471e-08
Feature_19383,32.559296,1.285467e-08
Feature_19655,32.55927,1.2854844e-08
Feature_19593,32.55892,1.2857113e-08
Feature_19551,32.55886,1.28575115e-08
Feature_19823,32.55873,1.2858359e-08
Feature_19845,32.558716,1.2858459e-08
Feature_19719,32.558662,1.2858808e-08
Feature_19277,32.556732,1.2871428e-08
Feature_19235,32.55642,1.2873475e-08
Feature_19319,32.55569,1.2878243e-08
Feature_19445,32.555233,1.2881239e-08
Feature_20013,32.554985,1.2882863e-08
Feature_19677,32.554756,1.2884361e-08
Feature_19341,32.55467,1.2884936e-08
Feature_19571,32.55464,1.2885111e-08
Feature_19403,32.554585,1.2885486e-08
Feature_19865,32.554234,1.2887784e-08
Feature_19487,32.5541,1.2888659e-08
Feature_19739,32.552704,1.2897807e-08
Feature_19529,32.552433,1.2899583e-08
Feature_19697,32.55209,1.2901834e-08
Feature_19949,32.551853,1.2903385e-08
Feature_19613,32.550053,1.2915198e-08
Feature_19803,32.54978,1.2916976e-08
Feature_19361,32.54946,1.291908e-08
Feature_19761,32.54877,1.2923614e-08
Feature_20075,32.547115,1.29344935e-08
Feature_19991,32.54647,1.2938732e-08
Feature_20033,32.543102,1.2960901e-08
Feature_19907,32.542545,1.296457e-08
Feature_19301,32.536297,1.3005808e-08
Feature_19553,32.536007,1.3007724e-08
Feature_19763,32.535614,1.3010322e-08
Feature_19847,32.535236,1.3012819e-08
Feature_19595,32.533566,1.3023874e-08
Feature_19385,32.533413,1.3024884e-08
Feature_19427,32.533337,1.302539e-08
Feature_19637,32.533115,1.3026854e-08
Feature_19679,32.533016,1.30275115e-08
Feature_19931,32.53264,1.3030012e-08
Feature_19721,32.530983,1.3040981e-08
Feature_19343,32.53077,1.30423965e-08
Feature_19805,32.52922,1.30526665e-08
Feature_19469,32.52772,1.3062616e-08
Feature_20057,32.527122,1.3066593e-08
Feature_19259,32.5271,1.3066745e-08
Feature_19973,32.526318,1.3071939e-08
Feature_19217,32.526085,1.3073485e-08
Feature_19511,32.526043,1.3073764e-08
Feature_20015,32.518818,1.3121861e-08
Feature_19889,32.518597,1.3123337e-08
Feature_19439,32.51246,1.316434e-08
Feature_19397,32.510674,1.3176291e-08
Feature_19271,32.50747,1.3197767e-08
Feature_19481,32.506195,1.3206317e-08
Feature_19355,32.505302,1.321231e-08
Feature_19859,32.505283,1.3212438e-08
Feature_20027,32.50334,1.3225484e-08
Feature_19985,32.502987,1.3227869e-08
Feature_19901,32.50297,1.3227972e-08
Feature_19943,32.50121,1.3239825e-08
Feature_19523,32.501102,1.3240545e-08
Feature_19775,32.500996,1.3241263e-08
Feature_20069,32.500244,1.3246321e-08
Feature_19229,32.49986,1.3248916e-08
Feature_19691,32.49969,1.3250046e-08
Feature_19313,32.498936,1.3255134e-08
Feature_19817,32.497208,1.32667815e-08
Feature_19733,32.497074,1.3267681e-08
Feature_19649,32.494015,1.3288329e-08
Feature_19565,32.493305,1.3293122e-08
Feature_19607,32.490395,1.33128015e-08
Feature_19939,32.489864,1.331639e-08
Feature_19855,32.489353,1.331985e-08
Feature_19309,32.487976,1.3329177e-08
Feature_19771,32.487503,1.3332382e-08
Feature_19897,32.486824,1.3336984e-08
Feature_19267,32.486374,1.3340036e-08
Feature_19813,32.485146,1.3348367e-08
Feature_19393,32.48502,1.3349221e-08
Feature_19981,32.484184,1.33548905e-08
Feature_19351,32.483986,1.3356237e-08
Feature_19435,32.482548,1.3366003e-08
Feature_19225,32.482166,1.3368595e-08
Feature_20023,32.481186,1.3375259e-08
Feature_20156,32.479904,1.3383976e-08
Feature_20065,32.478546,1.3393217e-08
Feature_20282,32.478355,1.3394516e-08
Feature_20324,32.478294,1.33949305e-08
Feature_19561,32.478207,1.3395528e-08
Feature_20240,32.47794,1.3397346e-08
Feature_19645,32.477825,1.3398126e-08
Feature_19603,32.477737,1.3398723e-08
Feature_20198,32.47753,1.3400126e-08
Feature_19687,32.477455,1.3400646e-08
Feature_20114,32.477345,1.3401399e-08
Feature_20366,32.477272,1.3401893e-08
Feature_19519,32.476513,1.3407066e-08
Feature_19729,32.475746,1.3412292e-08
Feature_19477,32.473797,1.3425587e-08
Feature_19777,32.46927,1.3456521e-08
Feature_19735,32.46583,1.3480051e-08
Feature_19399,32.46474,1.3487528e-08
Feature_20306,32.46418,1.34913725e-08
Feature_20096,32.46385,1.3493649e-08
Feature_20138,32.463436,1.3496475e-08
Feature_20180,32.463135,1.3498543e-08
Feature_20222,32.462833,1.350061e-08
Feature_20264,32.462376,1.3503752e-08
Feature_20348,32.461895,1.35070515e-08
Feature_19819,32.461254,1.3511452e-08
Feature_19231,32.461197,1.3511845e-08
Feature_19441,32.45998,1.3520205e-08
Feature_19273,32.45713,1.3539802e-08
Feature_19315,32.45713,1.3539802e-08
Feature_20368,32.457108,1.3539959e-08
Feature_20158,32.45632,1.3545369e-08
Feature_19525,32.456215,1.3546105e-08
Feature_20326,32.45497,1.3554669e-08
Feature_20284,32.454594,1.3557272e-08
Feature_19609,32.454548,1.3557587e-08
